Рег. №,Статус,Име на читалище,Област,Община,Град/село,Адрес,Булстат,Председател,Секретар,E-mail,Телефон,Факс,линк,Връзка към сайт библиотеки,Информационна карта,Информационна карта 2016,Информационна карта 2017,Информационна карта 2018,Информационна карта 2019,Информационна карта 2020,Информационна карта 2021,Информационна карта 2022
15,Действащо,Искра 1975,КЮСТЕНДИЛ,КЮСТЕНДИЛ,ГРАД КЮСТЕНДИЛ,"Асен Златаров 36, п.к. 2500",000255257,Людмила Йорданова Стоянова,Гергана Боянова Борисова,nch_iskra@abv.bg,"0895737871 - Людмила Стоянова, 0898380621 - Гергана Борисова",-,https://chitalishta.com/index.php?act=community&do=detail&id=15&reg_num=15,http://bibliobg.com/index.php?act=community&do=detail&hash=0916963871ce97721fd5e863f7bfe306d9244751,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=58302,https://chitalishta.com/index.php?act=community&do=detail1&id=67363,https://chitalishta.com/index.php?act=community&do=detail1&id=84584,https://chitalishta.com/index.php?act=community&do=detail1&id=99306,
16,Действащо,Младост -1983 г.,ПЛОВДИВ,ПЛОВДИВ,ГРАД ПЛОВДИВ,"ж.к. “Тракия”, бл. 22, п.к.4023",000460162,Екатерина Атанасова Каблешкова,Елена Ангелова Апостолова,mladost83@abv.bg,0888487232,-,https://chitalishta.com/index.php?act=community&do=detail&id=16&reg_num=16,http://bibliobg.com/index.php?act=community&do=detail&hash=cee23b6548afa0b165a77544f2a59b34ea752210,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=65457,https://chitalishta.com/index.php?act=community&do=detail1&id=80164,https://chitalishta.com/index.php?act=community&do=detail1&id=93704,https://chitalishta.com/index.php?act=community&do=detail1&id=105445
17,Действащо,Йордан Йовков-1870 година,ДОБРИЧ,ДОБРИЧ,ГРАД ДОБРИЧ,"25-ти септември 44, п.к.9300",000843029,Божанка Стойчева Вуцова,Красимир Тодоров Колев-Масурски,chitalishte1870.dch@gmail.com,058/603531; 0885504954,-,https://chitalishta.com/index.php?act=community&do=detail&id=17&reg_num=17,http://bibliobg.com/index.php?act=community&do=detail&hash=28e4ce3f1bef6bf3ac6ba71964328f9a5782c4b0,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=74557,https://chitalishta.com/index.php?act=community&do=detail1&id=86267,https://chitalishta.com/index.php?act=community&do=detail1&id=97369,
18,Действащо,Паисий Хилендарски -1870,ДОБРИЧ,БАЛЧИК,ГРАД БАЛЧИК,"пл. “21- ви Септември” 7, п.к. 9600",000842952,Красимир Стефанов Ранков,Веселин Павлинов Павлов,ph1870@abv.bg,0579/ 72511; 0579 73177,0579/ 72511,https://chitalishta.com/index.php?act=community&do=detail&id=18&reg_num=18,http://bibliobg.com/index.php?act=community&do=detail&hash=d4cd9e0d02cdbb7f55fede028450c8d4625d045f,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=64121,https://chitalishta.com/index.php?act=community&do=detail1&id=83193,https://chitalishta.com/index.php?act=community&do=detail1&id=92202,
19,Действащо,Просвета-1865,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГРАД ГОЦЕ ДЕЛЧЕВ,"пл. Гоце Делчев 1, п.к.2900",000014459,Костадин Иванов Кобаков,Георги  Иванов Мишев,prosvetagd@abv.bg,0751 602 84,-,https://chitalishta.com/index.php?act=community&do=detail&id=19&reg_num=19,http://bibliobg.com/index.php?act=community&do=detail&hash=a1252ae4fb21bce7392342a49d818e6eb227e002,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=53821,https://chitalishta.com/index.php?act=community&do=detail1&id=74265,https://chitalishta.com/index.php?act=community&do=detail1&id=85802,https://chitalishta.com/index.php?act=community&do=detail1&id=94869,
20,Действащо,Христо Ботев-1911,КЮСТЕНДИЛ,ДУПНИЦА,СЕЛО ЧЕРВЕН БРЕГ,п.к.2629,000253911,Диана Владимирова Димкина,Радостина Терзийска,hristo_botev_1911@abv.bg,0895363671,,https://chitalishta.com/index.php?act=community&do=detail&id=2855&reg_num=20,http://bibliobg.com/index.php?act=community&do=detail&hash=bbb6b1109705e5733d437960921430c14fa074c1,,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=83476,https://chitalishta.com/index.php?act=community&do=detail1&id=100527,
21,Действащо,Орфееви гори -1870,СМОЛЯН,СМОЛЯН,ГРАД СМОЛЯН,"Гимназиална 1, кв. Райково, п.к.4701",000609040,Цветанса Тинкова Илиева,Тодор Марков Тодоров,orfeevi_gori@abv.bg,0301/62568,-,https://chitalishta.com/index.php?act=community&do=detail&id=20&reg_num=21,http://bibliobg.com/index.php?act=community&do=detail&hash=7eb2c2b8646950c4405728bb42b4209249a51060,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=55603,https://chitalishta.com/index.php?act=community&do=detail1&id=73027,https://chitalishta.com/index.php?act=community&do=detail1&id=85899,https://chitalishta.com/index.php?act=community&do=detail1&id=100673,
22,Действащо,Виделина-1862,ПАЗАРДЖИК,ПАЗАРДЖИК,ГРАД ПАЗАРДЖИК,"бул.България 25 /п.кутия №145/,  п.к.4400",000343173,Димитър Василев Кибритов,Димитър Атанасов Кръстанов,videlina1862@gmail.com,034/ 44 56 16,-,https://chitalishta.com/index.php?act=community&do=detail&id=21&reg_num=22,http://bibliobg.com/index.php?act=community&do=detail&hash=20d4765ceae044617d0c7d88fb3e301cd0ea58a4,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=58398,,https://chitalishta.com/index.php?act=community&do=detail1&id=85926,https://chitalishta.com/index.php?act=community&do=detail1&id=101869,
23,Действащо,Св.Св.Кирил и Методий -1894г.- гр. Първомай,ПЛОВДИВ,ПЪРВОМАЙ,ГРАД ПЪРВОМАЙ,"Орфей 7, п.к.4270",000455877,Ана Йорданова Сиракова,Петранка Димитрова Стоянова,cob@abv.bg,0336/98908; 0895491989,0336  2395,https://chitalishta.com/index.php?act=community&do=detail&id=22&reg_num=23,http://bibliobg.com/index.php?act=community&do=detail&hash=2ee6ca57184e64a7ee4ca3ff2547761583aa6d4a,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=54992,https://chitalishta.com/index.php?act=community&do=detail1&id=70329,https://chitalishta.com/index.php?act=community&do=detail1&id=83294,https://chitalishta.com/index.php?act=community&do=detail1&id=99624,https://chitalishta.com/index.php?act=community&do=detail1&id=110131
24,Действащо,Пробуда -1896 г.,ДОБРИЧ,ДОБРИЧКА,СЕЛО ПОБЕДА,"Първа, п.к.9372",000843328,Мария Юлиянова Веселинова,Радостина Иванова Димитрова,penka55555@abv.bg,0885681724,-,https://chitalishta.com/index.php?act=community&do=detail&id=2856&reg_num=24,http://bibliobg.com/index.php?act=community&do=detail&hash=b9a781bbfab4124f38e7007ac4122d6b14300e55,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=53825,https://chitalishta.com/index.php?act=community&do=detail1&id=72819,https://chitalishta.com/index.php?act=community&do=detail1&id=85888,https://chitalishta.com/index.php?act=community&do=detail1&id=100168,
25,Действащо,Васил Левски -1938,КЮСТЕНДИЛ,БОБОШЕВО,СЕЛО УСОЙКА,"Св.Иван Рилски 4, п.к. 2675",000254648,Райна Стоименова Груева,Василка Асенова Граховска,v580612@abv.bg,0896114994,,https://chitalishta.com/index.php?act=community&do=detail&id=23&reg_num=25,http://bibliobg.com/index.php?act=community&do=detail&hash=f2be7af9d5e30a7dbe88660799cff4a4d2fe4c5e,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=69372,https://chitalishta.com/index.php?act=community&do=detail1&id=82223,https://chitalishta.com/index.php?act=community&do=detail1&id=94007,
26,Действащо,Просвета-1931,ГАБРОВО,ГАБРОВО,СЕЛО НОВАКОВЦИ,п.к.5332,107043681,Маргарита Матеева Параскевова,Стефка Василева Енчева,prosveta1931@gmail.com,"0886456158, 0893675360",-,https://chitalishta.com/index.php?act=community&do=detail&id=24&reg_num=26,http://bibliobg.com/index.php?act=community&do=detail&hash=4439389716a2d8d149d1a168e858b7ea6b3e368b,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=65880,https://chitalishta.com/index.php?act=community&do=detail1&id=83095,https://chitalishta.com/index.php?act=community&do=detail1&id=96350,https://chitalishta.com/index.php?act=community&do=detail1&id=106402
27,Действащо,Яна Лъскова -1905,БУРГАС,НЕСЕБЪР,ГРАД НЕСЕБЪР,"Месамбрия 20,  п.к.8231",000044737,Миглена Стоянова Щерионова,Катержина Николова Христова,chitaliste_ns@abv.bg,0554/43-159; 0894300930,0554/43-150,https://chitalishta.com/index.php?act=community&do=detail&id=25&reg_num=27,http://bibliobg.com/index.php?act=community&do=detail&hash=a30fb4a889163faed435b09d55cda0700789c54c,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=53548,https://chitalishta.com/index.php?act=community&do=detail1&id=71535,https://chitalishta.com/index.php?act=community&do=detail1&id=78408,https://chitalishta.com/index.php?act=community&do=detail1&id=92430,
28,Действащо,Напредък -1869,ШУМЕН,ШУМЕН,ГРАД ШУМЕН,"Панайот Волов 2, п.к.9700",000923201,Надка Драганова Раденкова,Розалина Христова Стефанова,napredaksh@abv.bg,054/862627;  0886 80 70 71,-,https://chitalishta.com/index.php?act=community&do=detail&id=26&reg_num=28,http://bibliobg.com/index.php?act=community&do=detail&hash=40463ec93721b70dd6bfdf3886837748e2384c65,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=51070,https://chitalishta.com/index.php?act=community&do=detail1&id=68185,https://chitalishta.com/index.php?act=community&do=detail1&id=85440,https://chitalishta.com/index.php?act=community&do=detail1&id=96086,https://chitalishta.com/index.php?act=community&do=detail1&id=109142
29,Действащо,Шалом Алейхем -1945 г.,ПЛОВДИВ,ПЛОВДИВ,ГРАД ПЛОВДИВ,"Христо Г.Данов 20, п.к.4000",000455845,Роза Шмил Бехар,Сашка Илиева Гъделева,shalomchitalishte@abv.bg,032/622509,-,https://chitalishta.com/index.php?act=community&do=detail&id=27&reg_num=29,http://bibliobg.com/index.php?act=community&do=detail&hash=27e1ebeb1088e3f0eb6cc16d8a63d0b778b89fac,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=60104,https://chitalishta.com/index.php?act=community&do=detail1&id=66514,https://chitalishta.com/index.php?act=community&do=detail1&id=85321,https://chitalishta.com/index.php?act=community&do=detail1&id=99155,
30,Действащо,Иван Вазов -1904 гр. Хисаря,ПЛОВДИВ,ХИСАРЯ,ГРАД ХИСАРЯ,"бул. Ген.Гурко 23, п.к.4180",000455927,Георги Ангелов Зафиров,Милена Николова Пирянкова,vazovhisar@abv.bg,0337/62005 ;0879163140,-,https://chitalishta.com/index.php?act=community&do=detail&id=28&reg_num=30,http://bibliobg.com/index.php?act=community&do=detail&hash=c4a16349444046b32631d33e94f7c517b5ce8729,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=57046,https://chitalishta.com/index.php?act=community&do=detail1&id=71214,https://chitalishta.com/index.php?act=community&do=detail1&id=88125,https://chitalishta.com/index.php?act=community&do=detail1&id=95667,
31,Действащо,Пробуда 1927,КЮСТЕНДИЛ,ДУПНИЦА,СЕЛО САМОРАНОВО,"Раковска 1, п.к. 2620",000253605,Емил Михайлов Севдин,Мария Кьосева,probuda_1927@mail.bg,0892450863,-,https://chitalishta.com/index.php?act=community&do=detail&id=29&reg_num=31,http://bibliobg.com/index.php?act=community&do=detail&hash=5292abf7c137b81b54cf6a71d6472a09e95be397,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=58983,,,https://chitalishta.com/index.php?act=community&do=detail1&id=100503,
32,Действащо,Пейо Крачолов Яворов-1978,КЮСТЕНДИЛ,ДУПНИЦА,ГРАД ДУПНИЦА,"кв. Бистрица, п.к. 2600,",000255606,Росица Стоянова Диканска - Галева,Райна Кирилова Христова,p_qvorov@abv.bg,"0899184650, Райна Христова",-,https://chitalishta.com/index.php?act=community&do=detail&id=30&reg_num=32,http://bibliobg.com/index.php?act=community&do=detail&hash=4d503d253c77cea5eb67ca651894af3207d0a273,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=54250,https://chitalishta.com/index.php?act=community&do=detail1&id=74154,https://chitalishta.com/index.php?act=community&do=detail1&id=88038,https://chitalishta.com/index.php?act=community&do=detail1&id=100733,
33,Действащо,Пенчо Славейков 1871,ГАБРОВО,ТРЯВНА,ГРАД ТРЯВНА,"Ангел Кънчев  33, п.к.5350",000210479,Илия Василев Сираков,-,chitalishte_tryavna@abv.bg,0677/62573; 0897814614,0677/62573,https://chitalishta.com/index.php?act=community&do=detail&id=31&reg_num=33,http://bibliobg.com/index.php?act=community&do=detail&hash=6d9e1af0943081ef83d668de68fefa4d21120619,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=66240,https://chitalishta.com/index.php?act=community&do=detail1&id=83563,https://chitalishta.com/index.php?act=community&do=detail1&id=96528,https://chitalishta.com/index.php?act=community&do=detail1&id=106603
34,Действащо,Напредък -1904г.-с. Устина,ПЛОВДИВ,РОДОПИ,СЕЛО УСТИНА,"”Никола Петков” 37, п.к.4228",000457134,Гинка Георгиева Кацарова,Красимира Цветанова Богатинова,nch.napredak.ustina@abv.bg,03145/4254,-,https://chitalishta.com/index.php?act=community&do=detail&id=32&reg_num=34,http://bibliobg.com/index.php?act=community&do=detail&hash=d3945475222fb34d6b42ae9d17a4380f4a2b7440,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=55923,https://chitalishta.com/index.php?act=community&do=detail1&id=74377,https://chitalishta.com/index.php?act=community&do=detail1&id=85121,https://chitalishta.com/index.php?act=community&do=detail1&id=99183,
35,Действащо,Отец Паисий -1876 г.- гр. Брезово,ПЛОВДИВ,БРЕЗОВО,ГРАД БРЕЗОВО,"„Георги Димитров” 33,  п.к.4160",000455998,Енчо Маринов Колев,Тони Георгиева Шопова,brezovochitalishte@abv.bg,03191/2457,-,https://chitalishta.com/index.php?act=community&do=detail&id=33&reg_num=35,http://bibliobg.com/index.php?act=community&do=detail&hash=142832f3447762148c84f5163d60dafbf63d9506,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=69522,https://chitalishta.com/index.php?act=community&do=detail1&id=85710,https://chitalishta.com/index.php?act=community&do=detail1&id=98913,
36,Действащо,Пробуждане-1898 г.,ДОБРИЧ,ДОБРИЧКА,СЕЛО ЛОМНИЦА,"Трета 16, п.к.9397",000844056,Недко Христов Петров,Гюлшерен Селимова Мюрселова,geri_19_66@abv.bg,0885681717,-,https://chitalishta.com/index.php?act=community&do=detail&id=2857&reg_num=36,http://bibliobg.com/index.php?act=community&do=detail&hash=604ed29d7f1addd06899021d1c3fb4252914946a,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=49330,https://chitalishta.com/index.php?act=community&do=detail1&id=68206,https://chitalishta.com/index.php?act=community&do=detail1&id=82528,https://chitalishta.com/index.php?act=community&do=detail1&id=97372,https://chitalishta.com/index.php?act=community&do=detail1&id=105434
37,Действащо,Христо Ботев-1941г.,ДОБРИЧ,ДОБРИЧКА,СЕЛО КОЗЛОДУЙЦИ,"Първа 33,  п.к.9387",000843933,Румянка Стоянова Колева,Нели Димитрова Георгиева,chitalishte_kozloduici@abv.bg,0885681714,-,https://chitalishta.com/index.php?act=community&do=detail&id=2858&reg_num=37,http://bibliobg.com/index.php?act=community&do=detail&hash=c1cc438a0c5f822dd629a8e78874ac95420c259c,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=49304,https://chitalishta.com/index.php?act=community&do=detail1&id=69049,https://chitalishta.com/index.php?act=community&do=detail1&id=79023,https://chitalishta.com/index.php?act=community&do=detail1&id=89297,https://chitalishta.com/index.php?act=community&do=detail1&id=102747
38,Действащо,Васил Левски-1941г.,ДОБРИЧ,ДОБРИЧКА,СЕЛО ТЯНЕВО,"Първа 4,  п.к.9429",000844825,Стоян Славов Петров,Донка Стоянова Костадинова,donika.13@abv.bg,0885 681 732,-,https://chitalishta.com/index.php?act=community&do=detail&id=2859&reg_num=38,http://bibliobg.com/index.php?act=community&do=detail&hash=f7f143b22e129d826b9e06287b6d7683cdd625a9,,,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=92169,
39,Действащо,Йордан Йовков -1941г.,ДОБРИЧ,БАЛЧИК,СЕЛО ЗМЕЕВО,"Искър 34, п.к.9643",000843723,Добринка Димитрова Симеонова,Веселина Русева Йовчева,zmeevo41.nc@abv.bg,05724/2289; 0885396289,-,https://chitalishta.com/index.php?act=community&do=detail&id=34&reg_num=39,http://bibliobg.com/index.php?act=community&do=detail&hash=c93098f93a76d3b0a640f305579abdb6b828c5c8,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=54969,https://chitalishta.com/index.php?act=community&do=detail1&id=71759,https://chitalishta.com/index.php?act=community&do=detail1&id=81515,https://chitalishta.com/index.php?act=community&do=detail1&id=99870,
40,Действащо,Гео Милев -1940 г.,ДОБРИЧ,ДОБРИЧКА,СЕЛО ЖИТНИЦА,"Първа 30, п.к.9424",000843666,Севдалина Янкова Енчева,Женя Димитрова Янева,jitnitsa@mail.bg,"0885681712, 0889907123",-,https://chitalishta.com/index.php?act=community&do=detail&id=2860&reg_num=40,http://bibliobg.com/index.php?act=community&do=detail&hash=f324130f7cb7461ca8f6899886d634393dfb94bd,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=63954,https://chitalishta.com/index.php?act=community&do=detail1&id=85076,https://chitalishta.com/index.php?act=community&do=detail1&id=96694,
